ResponseId,Q120,MainBranch,Age,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,TechList,BuyNewTool,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,AISearchHaveWorkedWith,AISearchWantToWorkWith,AIDevHaveWorkedWith,AIDevWantToWorkWith,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,SOAI,AISelect,AISent,AIAcc,AIBen,AIToolInterested in Using,AIToolCurrently Using,AIToolNot interested in Using,AINextVery different,AINextNeither different nor similar,AINextSomewhat similar,AINextVery similar,AINextSomewhat different,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,ProfessionalTech,Industry,SurveyLength,SurveyEase,ConvertedCompYearly
586,I agree,I code primarily as a hobby,Under 18 years old,"Student, full-time",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Formal documentation provided by the owner of the tech;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Click to write Choice 20;Stack Overflow",,5,,,,,Other,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,United Kingdom of Great Britain and Northern Ireland,,,Python,Rust,,,,,,,,,Pip,Cargo;Pip,PyCharm;VSCodium,PyCharm;VSCodium,Windows,,,,Discord;Whatsapp,Discord;Whatsapp,ChatGPT,,,,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",I think AI could be very useful helping new people to ask their questions in a way that allows others to effectively find the issues they experience and assist them with solving these problems. I also think there is potential for AI to be used to flag potentially harmful responses in order to keep the site a good and comfortable place for everyone.,"No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
663,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Colleague;On the job training,,,13,8,"Developer, back-end",10 to 19 employees,I have a great deal of influence,Investigate,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Spain,EUR European Euro,70000.0,Python,Python,,,,,Django,Django;FastAPI,,,Docker;Kubernetes;Pip,Docker;Pip,Vim,Neovim,MacOS,MacOS,Linear;Notion,Linear;Notion,Slack,Slack,,,,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,"Yes, somewhat","Detecting duplicate questions, detecting malformed or unstructured questions.","No, but I plan to soon",Indifferent,,Somewhat distrust,,,,,,,,,Yes,People manager,8.0,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,1-2 times a week,6-10 times a week,1-2 times a week,30-60 minutes a day,30-60 minutes a day,Automated testing;Continuous integration (CI) and (more often) continuous delivery,Other,Appropriate in length,Easy,74963.0
712,I agree,I am a developer by profession,18-24 years old,"Employed, full-time",In-person,Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum)","Formal documentation provided by the owner of the tech;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Click to write Choice 20;Interactive tutorial",,4,3,"Developer, back-end",100 to 499 employees,I have little or no influence,,Start a free trial,India,INR	Indian rupee,,Python,Java,BigQuery;Couch DB;MySQL;PostgreSQL;Redis,Cassandra,Google Cloud,Google Cloud,FastAPI;Flask;Node.js,Spring Boot,NumPy;Opencv;Pandas;RabbitMQ,,APT;Docker;npm;Pip,Kubernetes,Visual Studio Code,IntelliJ IDEA,Ubuntu;Windows,MacOS,Jira,,Google Chat;Google Meet;Slack,,,,,,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"Yes, definitely",It's a good social network kinda thing to collaborate with all the developers,Yes,Indifferent,Increase productivity;Speed up learning;Improve accuracy in coding,Somewhat distrust,Writing code;Debugging and getting help,Documenting code;Testing code,Learning about a codebase;Project planning;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Documenting code;Testing code,,,,,No,,,,,,,,,,,,,,,,,,Too long,Neither easy nor difficult,
815,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",On the job training,,,3,2,Data or business analyst,"10,000 or more employees",I have some influence,Investigate,Start a free trial,India,INR	Indian rupee,3000000.0,Python,Python,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,,,,,,,,,Windows,Windows,,,Microsoft Teams,Microsoft Teams,ChatGPT,ChatGPT,,,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",I dunno,"No, but I plan to soon",Indifferent,,Somewhat trust,,,,,,,,,Yes,Individual contributor,10.0,Neither agree nor disagree,Neither agree nor disagree,,,,,,,Never,Never,,,,,,Too long,Easy,36351.0
857,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",18-24 years old,"Not employed, but looking for work",,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Stack Overflow,,6,,"Developer, full-stack",,,Investigate,Start a free trial;Ask developers I know/work with;Ask a generative AI tool,India,,,Python,Python,PostgreSQL;Redis,PostgreSQL;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS),Django,Django,Qt,,npm;Pip,npm;Pip,Visual Studio Code,Visual Studio Code,Debian,Debian;Windows,,,Whatsapp,,ChatGPT,ChatGPT,,,Stack Overflow,A few times per week,Yes,A few times per week,"Yes, definitely",,"No, but I plan to soon",Favorable,,Neither trust nor distrust,,,,,,,,,,,,,,,,,,,,,,,,,,,Too long,Easy,
908,I agree,I am learning to code,18-24 years old,"Not employed, but looking for work",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;How-to videos;Written Tutorials;Click to write Choice 20;Stack Overflow,,5,,,,,,,United States of America,,,Python,C++;Python,,,,,,,,,,,Qt Creator;Visual Studio Code,Qt Creator;Visual Studio Code,Windows,,,,Discord,Discord,,,,,Stack Overflow,A few times per week,No,,"No, not at all",,"No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
945,I agree,I code primarily as a hobby,18-24 years old,"Student, full-time",,,"Associate degree (A.A., A.S., etc.)","Other online resources (e.g., videos, blogs, forum)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Recorded coding sessions;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Click to write Choice 20;Stack Overflow",,4,,,,,,Start a free trial;Ask developers I know/work with,Ukraine,,,Python,HTML/CSS;JavaScript;Python,SQLite,MongoDB;PostgreSQL;SQLite,,,,,NumPy,,Pip,Docker;doctest;Pip,Android Studio;PyCharm;Visual Studio Code,PyCharm,Android;Windows,Ubuntu,,,Microsoft Teams,Microsoft Teams,ChatGPT,ChatGPT,,,Stack Overflow,Daily or almost daily,Yes,A few times per week,"Yes, definitely",,Yes,Favorable,Increase productivity;Speed up learning,Somewhat distrust,Documenting code;Testing code,Learning about a codebase;Testing code,Committing and reviewing code;Deployment and monitoring,,,,,Learning about a codebase;Testing code,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
1236,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Recorded coding sessions;How-to videos;Video-based Online Courses;Stack Overflow;Interactive tutorial,Udemy,4,2,Other (please specify):,20 to 99 employees,I have a great deal of influence,Investigate,Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,United States of America,USD	United States dollar,90000.0,Python,Python,,,,,,,Pandas,NumPy;Pandas,,,PyCharm,PyCharm,Windows,Windows,,,Signal,Signal,ChatGPT,ChatGPT,,,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per week,"Yes, definitely",I think implementing AI is a great idea for Stack Overflow. I think it can help reduce work for moderators and other members by removing poor quality material and other filtering of posts.,"No, but I plan to soon",Favorable,,Somewhat trust,,,,,,,,,Yes,Individual contributor,20.0,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,1-2 times a week,3-5 times a week,Never,30-60 minutes a day,30-60 minutes a day,Developer portal or other central places to find tools/services,"Manufacturing, Transportation, or Supply Chain",Appropriate in length,Easy,90000.0
1279,I agree,I am learning to code,55-64 years old,Retired,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;How-to videos;Written-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow,,2,,,,,Given a list,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd,France,,,Python,,,,,,,,NumPy;Opencv;Pandas,,,,,,Debian;Other Linux-based,,,,,,,,,,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per week,"Yes, somewhat",searches,"No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
1403,I agree,I am a developer by profession,18-24 years old,"Student, full-time",,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Recorded coding sessions;How-to videos;Interactive tutorial;Certification videos,Other;Coursera,4,,,,,Given a list,Ask developers I know/work with,Greece,,,Python,JavaScript;Rust,MySQL;SQLite,MongoDB;MySQL,IBM Cloud Or Watson,Amazon Web Services (AWS);IBM Cloud Or Watson;OpenShift,Express;Node.js,Deno;Express;Node.js;React,Pandas;Scikit-Learn;TensorFlow,Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Maven (build tool);npm;Pip,Docker;Maven (build tool);npm;Pip;Webpack,Jupyter Notebook/JupyterLab;Visual Studio Code,Jupyter Notebook/JupyterLab;Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),MacOS,GitHub Discussions,,Slack,Slack,ChatGPT,ChatGPT,Tabnine,AWS CodeWhisperer;GitHub Copilot,Stack Overflow;Stack Exchange,Daily or almost daily,Not sure/can't remember,,"No, not really","It would help, but I think the interaction of the members would deteriorate.",Yes,Favorable,Increase productivity;Greater efficiency,Somewhat distrust,,Learning about a codebase;Writing code;Testing code,,Testing code,,,,Learning about a codebase;Writing code,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
1570,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Coding Bootcamp,,,6,5,"Developer, back-end","5,000 to 9,999 employees",I have little or no influence,,Start a free trial;Visit developer communities like Stack Overflow,India,INR	Indian rupee,,Python,Python,Elasticsearch;Microsoft SQL Server;PostgreSQL,Elasticsearch;Microsoft SQL Server;PostgreSQL,,,Django;jQuery,,Apache Spark;RabbitMQ,Apache Spark;RabbitMQ,Docker;Pip,Ansible;Docker;Pip,PyCharm,PyCharm,Red Hat,Red Hat,,,Microsoft Teams,Microsoft Teams,ChatGPT,ChatGPT,,,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, somewhat",,"No, but I plan to soon",Favorable,,Somewhat trust,,,,,,,,,Yes,Individual contributor,6.0,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Never,1-2 times a week,1-2 times a week,60-120 minutes a day,30-60 minutes a day,None of these,Healthcare,Too long,Neither easy nor difficult,
1597,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,"Student, full-time",,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;How-to videos;Written Tutorials;Click to write Choice 20;Stack Overflow;Other (Please specify):,Coursera,4,,,,,,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Spain,,,Python,C;C++;Python,,,,,,,NumPy;Opencv,CUDA;NumPy;Opencv;OpenGL;Qt,,,IPython;Jupyter Notebook/JupyterLab;Nano;Notepad++;Spyder;Visual Studio Code,IPython;Jupyter Notebook/JupyterLab;Nano;Notepad++;Spyder;Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),Ubuntu;Windows;Windows Subsystem for Linux (WSL),Markdown File,Markdown File,Google Meet;Slack,Google Meet;Slack,Bing AI;ChatGPT,Bing AI;ChatGPT,,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,"I see AI as a useful tool that StackOverflow can leverage to improve the user experience. For instance, it can be useful to suggest changes to the users, both in grammar in grammar and content, to ask/reply in a more principled way. It can also be useful for suggesting answers, howver I feel that nowadays these suggested answers by the AI should be moderated to ensure the quality of them.","No, but I plan to soon",Favorable,,Somewhat distrust,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
1621,I agree,I am a developer by profession,35-44 years old,"Not employed, but looking for work",,,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Stack Overflow,,18,,Data scientist or machine learning specialist,,,Investigate,Start a free trial;Read ratings or reviews on third party sites like G2 Crowd,Germany,,,Python,Python,MongoDB,,Amazon Web Services (AWS),,,,CUDA;Pandas;Qt;Scikit-Learn;Torch/PyTorch,CUDA;Hugging Face Transformers;Pandas;Qt;Scikit-Learn;Torch/PyTorch,Docker;Pip,Pip,IPython;Jupyter Notebook/JupyterLab;Notepad++;PyCharm;Spyder,IPython;Jupyter Notebook/JupyterLab;Notepad++;PyCharm;Spyder;Visual Studio Code,Other Linux-based,Windows;Windows Subsystem for Linux (WSL),Confluence;Jira;Markdown File;Miro;Wikis,Markdown File;Wikis,Microsoft Teams;Signal;Skype;Telegram;Whatsapp;Zoom,,Perplexity AI;WolframAlpha,Perplexity AI;WolframAlpha,,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",AI could help with finding related questions to new answers (i.e. resolve duplicates),"No, but I plan to soon",Favorable,,Neither trust nor distrust,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
